fecha,autor_portada,titulo_portada,autor_critica,url,url_imagen,news_keywords,keywords,descripcion,id
2008-01-07,Istvan Banyai.,"“On the Edge,”",missing,missing,"https://media.newyorker.com/photos/590950c66552fa0be682b9e5/master/w_280,c_limit/2008_01_07.jpg",missing,missing,missing,missing
2008-01-14,J. J. Sempé.,"“Together,”",missing,missing,"https://media.newyorker.com/photos/590950b8c14b3c606c1034fc/master/w_280,c_limit/2008_01_14.jpg",missing,missing,missing,missing
2008-01-21,Lorenzo Mattotti.,"“On the Prowl,”",missing,missing,"https://media.newyorker.com/photos/590950b76552fa0be682b9b7/master/w_280,c_limit/2008_01_21.jpg",missing,missing,missing,missing
2008-01-28,Mark Ulriksen.,"“Winter Pleasures,”",missing,missing,"https://media.newyorker.com/photos/590950b9019dfc3494e9d6bc/master/w_280,c_limit/2008_01_28.jpg",missing,missing,missing,missing
2008-02-04,Kathy Osborn.,"“Humpty Dumpty Sat on a Wall. . . ,”",missing,missing,"https://media.newyorker.com/photos/590950b8c14b3c606c1034fe/master/w_280,c_limit/2008_02_04.jpg",missing,missing,missing,missing
2008-02-11,Rea Irvin and Seth.,“Eustace Tillarobama”,missing,missing,"https://media.newyorker.com/photos/590950bac14b3c606c103506/master/w_280,c_limit/2008_02_11.jpg",missing,missing,missing,missing
2008-02-25,Adrian Tomine.,"“Shelf Life,”",missing,missing,"https://media.newyorker.com/photos/590950bbc14b3c606c103508/master/w_280,c_limit/2008_02_25.jpg",missing,missing,missing,missing
2008-03-03,Ana Juan.,"“Fading,”",missing,missing,"https://media.newyorker.com/photos/590950bb1c7a8e33fb38a008/master/w_280,c_limit/2008_03_03.jpg",missing,missing,missing,missing
2008-03-10,missing,missing,missing,missing,,missing,missing,missing,missing
2008-03-17,Barry Blitt.,"“I'll get it!,”",missing,missing,"https://media.newyorker.com/photos/590950bc019dfc3494e9d6c7/master/w_280,c_limit/2008_03_17.jpg",missing,missing,missing,missing
2008-03-24,Mark Ulriksen.,"“The Emperor's New Clothes,”",missing,missing,"https://media.newyorker.com/photos/590950bd019dfc3494e9d6cb/master/w_280,c_limit/2008_03_24.jpg",missing,missing,missing,missing
2008-03-31,Richard McGuire.,"“All Downhill from Here . . . ,”",missing,missing,"https://media.newyorker.com/photos/590950be1c7a8e33fb38a016/master/w_280,c_limit/2008_03_31.jpg",missing,missing,missing,missing
2008-04-07,Mark Ulriksen.,"“Lost and Found,”",missing,missing,"https://media.newyorker.com/photos/590950bec14b3c606c103514/master/w_280,c_limit/2008_04_07.jpg",missing,missing,missing,missing
2008-04-14,J. J. Sempé.,"“Without Skipping a Beat,”",missing,missing,"https://media.newyorker.com/photos/590950bfc14b3c606c103518/master/w_280,c_limit/2008_04_14.jpg",missing,missing,missing,missing
