fecha,autor_portada,nombre portada,autor_critica,nombre_criticaurl,url_imagen,news_keywords,keywords,descripcion,id
January 32011,missing,,,,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f9/master/w_280,c_limit/2011_01_03.jpg",missing,missing,missing,missing
January 102011,missing,,,,"https://media.newyorker.com/photos/590950cc6552fa0be682ba03/master/w_280,c_limit/2011_01_10.jpg",missing,missing,missing,missing
January 172011,missing,,,,"https://media.newyorker.com/photos/590950cc2179605b11ad2d0e/master/w_280,c_limit/2011_01_17.jpg",missing,missing,missing,missing
January 242011,missing,,,,"https://media.newyorker.com/photos/590950ce019dfc3494e9d714/master/w_280,c_limit/2011_01_24.jpg",missing,missing,missing,missing
January 312011,missing,,,,"https://media.newyorker.com/photos/590950d02179605b11ad2d1c/master/w_280,c_limit/2011_01_31.jpg",missing,missing,missing,missing
February 72011,missing,,,,"https://media.newyorker.com/photos/590950d1c14b3c606c103564/master/w_280,c_limit/2011_02_07.jpg",missing,missing,missing,missing
February 14 & 212011,missing,,,,"https://media.newyorker.com/photos/590950d21c7a8e33fb38a074/master/w_280,c_limit/2011_02_14.jpg",missing,missing,missing,missing
February 282011,missing,,,,"https://media.newyorker.com/photos/590950d4ebe912338a372560/master/w_280,c_limit/2011_02_28.jpg",missing,missing,missing,missing
March 72011,missing,,,,"https://media.newyorker.com/photos/590950d5019dfc3494e9d736/master/w_280,c_limit/2011_03_07.jpg",missing,missing,missing,missing
March 142011,missing,,,,"https://media.newyorker.com/photos/590950d6019dfc3494e9d73b/master/w_280,c_limit/2011_03_14.jpg",missing,missing,missing,missing
March 212011,missing,,,,"https://media.newyorker.com/photos/590950d76552fa0be682ba2d/master/w_280,c_limit/2011_03_21.jpg",missing,missing,missing,missing
March 282011,Christoph Niemann.,,Samantha Henig,,"https://media.newyorker.com/photos/590950d86552fa0be682ba33/master/w_280,c_limit/2011_03_28.jpg","Earthquakes,Japan,_wordpress_id:2369061","Earthquakes,Japan,_wordpress_id:2369061","“It’s very tricky to do any drawing of a tragedy,” said Christoph Niemann, who created “Dark Spring,” this week’s cover. When asked to come up …",5913634dbf504e141f4084f0
April 42011,Edward Koren.,,Emily Kan,,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f7/master/w_280,c_limit/2011_04_04.jpg",_wordpress_id:2370421,_wordpress_id:2370421,"Edward Koren, a longtime New Yorker artist, asked us to arrange for him to visit the driver’s compartment of a subway car so that he could accurately …",591363618653674ad013d485
April 112011,Bruce McCall.,,Emily Kan,,"https://media.newyorker.com/photos/590950ccebe912338a37253e/master/w_280,c_limit/2011_04_11.jpg",_wordpress_id:2371651,_wordpress_id:2371651,"When we asked Bruce McCall for an idea for a golf cover, he came up blank. “Golf is a hard subject because it’s a solitary person in a plane of space. …",5913638b003d2c13d3ad49b7
April 182011,Jacques de Loustal.,,Emily Kan,,"https://media.newyorker.com/photos/590950ccc14b3c606c103552/master/w_280,c_limit/2011_04_18.jpg",_wordpress_id:2373281,_wordpress_id:2373281,"“Drawing While Waiting,” the cover of this week’s Journeys Issue, by the Parisian artist Jacques de Loustal, was inspired by the Amalfi Coast of …",591363ac76e7dd159bc69548
April 252011,Maira Kalman.,,Emily Kan,,"https://media.newyorker.com/photos/590950ce6552fa0be682ba0b/master/w_280,c_limit/2011_04_25.jpg",_wordpress_id:2374271,_wordpress_id:2374271,"This week’s cover, by Maira Kalman, is called “Everywhere I Look I See Hats.” Kalman wears many hats herself. The Easter cover arrives in the middle …",591363a8bf504e141f408500
