fecha,autor_critica,autor_portada,titulo_portada,url,url_imagen,news_keywords,keywords,descripcion,id
"January 3, 2011","“Happy New Decade,” by Richard McGuire.",missing,missing,missing,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f9/master/w_280,c_limit/2011_01_03.jpg",missing,missing,missing,missing
"January 10, 2011","“Blizzard,” by Lorenzo Mattotti.",missing,missing,missing,"https://media.newyorker.com/photos/590950cc6552fa0be682ba03/master/w_280,c_limit/2011_01_10.jpg",missing,missing,missing,missing
"January 17, 2011","“Spiderward,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950cc2179605b11ad2d0e/master/w_280,c_limit/2011_01_17.jpg",missing,missing,missing,missing
"January 24, 2011","“Fifth Avenue and Forty-second Street,” by Jorge Colombo.",missing,missing,missing,"https://media.newyorker.com/photos/590950ce019dfc3494e9d714/master/w_280,c_limit/2011_01_24.jpg",missing,missing,missing,missing
"January 31, 2011","“Mental Landscape,” by Frank Viva.",missing,missing,missing,"https://media.newyorker.com/photos/590950d02179605b11ad2d1c/master/w_280,c_limit/2011_01_31.jpg",missing,missing,missing,missing
"February 7, 2011","“Bloom in Love,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950d1c14b3c606c103564/master/w_280,c_limit/2011_02_07.jpg",missing,missing,missing,missing
The Anniversary Issue,"“Eustace Tilley,” by Rea Irvin.",missing,missing,missing,"https://media.newyorker.com/photos/590950d21c7a8e33fb38a074/master/w_280,c_limit/2011_02_14.jpg",missing,missing,missing,missing
"February 28, 2011","“A Moment of Triumph,” by Ian Falconer.",missing,missing,missing,"https://media.newyorker.com/photos/590950d4ebe912338a372560/master/w_280,c_limit/2011_02_28.jpg",missing,missing,missing,missing
"March 7, 2011","“Shoes,” by David Hockney.",missing,missing,missing,"https://media.newyorker.com/photos/590950d5019dfc3494e9d736/master/w_280,c_limit/2011_03_07.jpg",missing,missing,missing,missing
"March 14, 2011","“Hope Is The Thing with Feathers,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950d6019dfc3494e9d73b/master/w_280,c_limit/2011_03_14.jpg",missing,missing,missing,missing
"March 21, 2011","“On His Way,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950d76552fa0be682ba2d/master/w_280,c_limit/2011_03_21.jpg",missing,missing,missing,missing
"March 28, 2011","“Dark Spring,” by Christoph Niemann.",,,http://www.newyorker.com/news/news-desk/cover-story-christoph-niemanns-nuclear-flowers,"https://media.newyorker.com/photos/590950d86552fa0be682ba33/master/w_280,c_limit/2011_03_28.jpg",,,,
