fecha,autor_critica,autor_portada,titulo_portada,url,url_imagen,news_keywords,keywords,descripcion,id
"January 7, 2008","“On the Edge,” by Istvan Banyai.",missing,missing,missing,"https://media.newyorker.com/photos/590950c66552fa0be682b9e5/master/w_280,c_limit/2008_01_07.jpg",missing,missing,missing,missing
"January 14, 2008","“Together,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950b8c14b3c606c1034fc/master/w_280,c_limit/2008_01_14.jpg",missing,missing,missing,missing
"January 21, 2008","“On the Prowl,” by Lorenzo Mattotti.",missing,missing,missing,"https://media.newyorker.com/photos/590950b76552fa0be682b9b7/master/w_280,c_limit/2008_01_21.jpg",missing,missing,missing,missing
"January 28, 2008","“Winter Pleasures,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950b9019dfc3494e9d6bc/master/w_280,c_limit/2008_01_28.jpg",missing,missing,missing,missing
"February 4, 2008","“Humpty Dumpty Sat on a Wall. . . ,” by Kathy Osborn.",missing,missing,missing,"https://media.newyorker.com/photos/590950b8c14b3c606c1034fe/master/w_280,c_limit/2008_02_04.jpg",missing,missing,missing,missing
"February 11 & 18, 2008",“Eustace Tillarobama” by Rea Irvin and Seth.,missing,missing,missing,"https://media.newyorker.com/photos/590950bac14b3c606c103506/master/w_280,c_limit/2008_02_11.jpg",missing,missing,missing,missing
"February 25, 2008","“Shelf Life,” by Adrian Tomine.",missing,missing,missing,"https://media.newyorker.com/photos/590950bbc14b3c606c103508/master/w_280,c_limit/2008_02_25.jpg",missing,missing,missing,missing
"March 3, 2008","“Fading,” by Ana Juan.",missing,missing,missing,"https://media.newyorker.com/photos/590950bb1c7a8e33fb38a008/master/w_280,c_limit/2008_03_03.jpg",missing,missing,missing,missing
"March 10, 2008",missing,missing,missing,missing,,missing,missing,missing,missing
"March 17, 2008","“I'll get it!,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950bc019dfc3494e9d6c7/master/w_280,c_limit/2008_03_17.jpg",missing,missing,missing,missing
"March 24, 2008","“The Emperor's New Clothes,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950bd019dfc3494e9d6cb/master/w_280,c_limit/2008_03_24.jpg",missing,missing,missing,missing
"March 31, 2008","“All Downhill from Here . . . ,” by Richard McGuire.",missing,missing,missing,"https://media.newyorker.com/photos/590950be1c7a8e33fb38a016/master/w_280,c_limit/2008_03_31.jpg",missing,missing,missing,missing
"April 7, 2008","“Lost and Found,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950bec14b3c606c103514/master/w_280,c_limit/2008_04_07.jpg",missing,missing,missing,missing
"April 14, 2008","“Without Skipping a Beat,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950bfc14b3c606c103518/master/w_280,c_limit/2008_04_14.jpg",missing,missing,missing,missing
"April 21, 2008","“On the Move,” by Jacques de Loustal.",missing,missing,missing,"https://media.newyorker.com/photos/590950c0c14b3c606c103520/master/w_280,c_limit/2008_04_21.jpg",missing,missing,missing,missing
"April 28, 2008","“Vernal Bliss,” by William Steig.",missing,missing,missing,"https://media.newyorker.com/photos/594075c6f0f508523e7e5a69/master/w_280,c_limit/080428_cover_080428.jpg",missing,missing,missing,missing
"May 5, 2008","“Mother’s Day Special,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/594075c55116f613261ab4f8/master/w_280,c_limit/080505_cover_080505.jpg",missing,missing,missing,missing
